Trial,Algorithm,Error,N,Directional,Cleared,Total_s,Average_s,Runtime_s,Complete,Move_s,Switch_s,Measure_s,OpticalLaser_s,StationsVisited,Fallbacks,RaySweeps,DirectionObservations,GlobalMove_s,LocalMove_s,ConfirmedDirectional,OmniRefinements
57,base,,16,15,16,7817.67703765224,488.604814853265,0.1271755,1,5499.67703765224,320,1720,278,24,0,8,50,2820.84647950674,2678.83055814551,NaN,NaN
57,split,,16,15,16,7753.76080951202,484.610050594501,0.132966958333333,1,5505.76080951202,318,1715,215,24,0,6,49,2820.78439768232,2684.9764118297,8,0
58,base,,12,7,12,6620.22005243105,551.685004369254,0.132711,1,4332.22005243105,324,1745,219,25,0,8,36,2881.90433484374,1450.31571758732,NaN,NaN
58,split,,12,7,12,6523.39039557171,543.615866297643,0.130103333333333,1,4313.39039557172,324,1745,141,25,0,5,36,2879.44338879253,1433.94700677919,2,0
59,base,,12,7,12,7123.19524185164,593.599603487637,0.133205,1,4922.19524185164,320,1710,171,25,0,6,43,3188.24975615269,1733.94548569895,NaN,NaN
59,split,,12,7,12,7090.23139641414,590.852616367845,0.136389833333333,1,4921.23139641414,320,1705,144,25,0,5,42,3187.09090458983,1734.14049182431,3,0
60,base,,14,1,14,6529.0716017877,466.36225727055,0.132849583333333,1,4129.0716017877,340,1810,250,25,0,6,48,2549.52368320125,1579.54791858645,NaN,NaN
60,split,,14,1,14,6470.22305516852,462.158789654894,0.133665791666667,1,4129.22305516853,342,1815,184,25,0,4,49,2541.48452823817,1587.73852693036,1,1
61,base,,11,10,11,7657.39574743045,696.12688613004,0.134040625,1,5120.39574743045,377,2000,160,25,0,5,39,3469.90791245228,1650.48783497817,NaN,NaN
61,split,,11,10,11,7624.64630740564,693.149664309604,0.12890575,1,5116.64630740564,379,2005,124,25,0,3,40,3469.34907294,1647.29723446564,3,1
62,base,,12,9,12,7413.003037223,617.750253101917,0.127910375,1,5031.003037223,330,1770,282,25,0,7,39,3130.03950772659,1900.96352949642,NaN,NaN
62,split,,12,9,12,7419.0741627399,618.256180228325,0.131535166666667,1,5065.07416273989,328,1765,261,25,0,6,37,3129.66308670655,1935.41107603335,5,1
63,base,,12,8,12,7614.29902412111,634.524918676759,0.130267166666667,1,5229.2990241211,350,1870,165,25,0,7,41,3212.65629448776,2016.64272963334,NaN,NaN
63,split,,12,8,12,7614.29902412111,634.524918676759,0.158238041666667,1,5229.2990241211,350,1870,165,25,0,7,41,3212.65629448776,2016.64272963334,5,0
64,base,,11,2,11,6314.29923911529,574.027203555936,0.162632291666667,1,4117.2992391153,320,1720,157,25,0,4,41,2992.69140281529,1124.60783630001,NaN,NaN
64,split,,11,2,11,6230.66196669541,566.423815154128,0.132702583333333,1,4109.66196669541,322,1720,79,25,0,1,41,2990.87547243339,1118.78649426202,1,1
65,base,,16,4,16,6647.91303253118,415.494564533199,0.134839208333333,1,4466.91303253118,312,1675,194,25,0,5,63,2672.61297997176,1794.30005255942,NaN,NaN
65,split,,16,4,16,6591.56296032489,411.972685020306,0.142791416666667,1,4473.56296032489,312,1675,131,25,0,3,63,2673.64404789964,1799.91891242525,1,0
66,base,,14,3,14,6373.41203420607,455.243716729005,0.127143291666667,1,4113.41203420607,320,1720,220,25,0,7,56,2707.46593366367,1405.94610054241,NaN,NaN
66,split,,14,3,14,6232.79422143064,445.199587245045,0.13011575,1,4059.79422143064,320,1720,133,25,0,4,56,2710.68585935002,1349.10836208062,1,0
67,base,,13,12,13,8041.06286844993,618.543297573071,0.143289416666667,1,5489.06286844992,356,1915,281,25,0,10,34,3214.58166699161,2274.48120145831,NaN,NaN
67,split,,13,12,13,8029.41269280693,617.647130215918,0.130346291666667,1,5487.41269280693,354,1910,278,25,0,10,33,3213.87547492973,2273.5372178772,6,0
68,base,,15,2,15,5857.12642522098,390.475095014732,0.125544833333333,1,4167.12642522098,232,1275,183,25,0,6,50,2869.80328016215,1297.32314505883,NaN,NaN
68,split,,15,2,15,5791.04978124551,386.069985416367,0.131124208333333,1,4170.0497812455,232,1275,114,25,0,3,50,2869.82598827096,1300.22379297454,2,0
69,base,,13,9,13,7666.56277143454,589.735597802657,0.142543041666667,1,5307.56277143454,332,1800,227,25,0,8,33,2904.6698078911,2402.89296354343,NaN,NaN
69,split,,13,9,13,7666.56277143454,589.735597802657,0.134159333333333,1,5307.56277143454,332,1800,227,25,0,8,33,2904.6698078911,2402.89296354343,4,0
70,base,,11,4,11,6896.67544807673,626.970495279703,0.135172333333333,1,4481.67544807672,364,1930,121,25,0,3,45,3083.84492627974,1397.83052179699,NaN,NaN
